message,source
"As no alternative to artemisinin derivatives is expected to enter the market for several years,
the efficacy of Artemisinin-based Combination Therapies must be preserved, which is why World Health Organization recommends that treatment should
only be administered if a person tests positive for malaria.", WHO website
"World Health Organization does not support the
promotion or use of Artemisia plant material (whether teas, tablets or capsules) for the
prevention or treatment of malaria.", WHO website
"The emergence and spread of artemisinin partial resistance – defined as delayed clearance after
treatment with a drug containing an artemisinin – and resistance to Artemisinin-based Combination Therapy partner drugs are
significant threats to efforts aimed at reducing the global burden of malaria.", WHO website
"In Africa, artemisinin partial resistance is now confirmed in Eritrea, Rwanda, Uganda and the United Republic of Tanzania and is suspected in Ethiopia, Sudan, Namibia and Zambia.", WHO website
"Although studies generally show high efficacy of Artemisinin-based Combination Therapies, concerns remain regarding both the quality and
coverage of efficacy data.", WHO website
"As part of the World Health Organization strategy to respond to the threat of antimalarial
drug resistance in Africa, World Health Organization calls on malaria endemic countries and global malaria partners
to strengthen the surveillance of antimalarial drug efficacy and resistance, and to ensure that
the most effective treatments are selected for national treatment policy.", WHO website
Where is malaria most prevalent?, WHO website
Malaria occurs primarily in tropical and subtropical countries., WHO website
"The vast majority of malaria
cases and deaths are found in the World Health Organization African Region, with nearly all cases caused by the
Plasmodium falciparum parasite.", WHO website
"This parasite is also dominant in other malaria hotspots,
including the World Health Organization regions of South-East Asia, Eastern Mediterranean and Western Pacific.", WHO website
"In the World Health Organization Region of the Americas, the Plasmodium vivax parasite is predominant.", WHO website
"The threat of malaria is highest in sub-Saharan Africa, and four countries in that region accounted for over half of all malaria deaths worldwide in year two thousand and twenty three: Nigeria (thirty point nine percent ), the Democratic Republic of the Congo (eleven point three percent ), Niger (five point nine percent ) and the United Republic of Tanzania four point three percent).", WHO website
Is it dangerous to travel to places where malaria is endemic?, WHO website
People who have no partial immunity to malaria are at higher risk of contracting the disease., WHO website
"This includes travellers from non-endemic countries entering areas of high transmission as well
as people in malaria-endemic countries living in areas where there is little or no transmission.", WHO website
"As symptoms often do not present for ten to fifteen days after infection, travellers may return to
their home country before exhibiting signs of the disease.", WHO website
"Doctors in non-endemic areas may
not recognize the symptoms, causing potentially fatal delays in diagnosis and treatment.", WHO website
"In
addition, effective antimalarial drugs may not be registered or available in all countries.", WHO website
Chemoprophylaxis can be used as a preventive therapy prior to travelling in endemic areas., WHO website
"When combined with the use of insecticide-treated nets and the repeated application of a topical
repellent to prevent mosquito bites, it significantly lowers the risk of infection.", WHO website
"If a person has
taken chemoprophylaxis as a preventive measure, the same medicine should not be used for
treatment if infection occurs.", WHO website
"Travellers are encouraged to consult a doctor or their national disease control centre prior to
departure to determine the appropriate preventive measures.", WHO website
How can malaria be prevented?, WHO website
"Malaria is a preventable disease.
1.", WHO website
"Vector control is the main approach to prevent malaria and
reduce transmission.", WHO website
"Two forms of vector control are effective for people living in malaria-
endemic countries: insecticide-treated nets, which prevent bites while people sleep and which
kill mosquitoes as they try to feed, and indoor residual spraying, which is the application of an
insecticide to surfaces where mosquitoes tend to rest, such as internal walls, eaves and ceilings
of houses and other domestic structures.", WHO website
"For travellers, the use of an insecticide-treated net is
the most practical vector control intervention.", WHO website
"World Health Organization maintains a list vector control products
that have been assessed for their safety, effectiveness and quality.", WHO website
"Although designed to treat patients
already infected with malaria, some antimalarial medicines can also be used to prevent the
disease.", WHO website
"Current World Health Organization-recommended malaria chemopreventive therapies for people living in
endemic areas include intermittent preventive treatment of malaria in pregnancy, perennial
malaria chemoprevention, seasonal malaria chemoprevention, post-discharge malaria
chemoprevention, and intermittent preventive treatment of malaria for school-aged children.", WHO website
"Chemoprophylaxis drugs are also given to travellers before entering an area where malaria is
endemic and can be highly effective when combined with insecticide-treated nets.", WHO website
Is there a vaccine against malaria?, WHO website
"In year two thousand and twenty one, World Health Organization recommended the RTS,S/AS01 (RTS,S) vaccine to prevent malaria among
children living in regions with moderate-to-high P. falciparum malaria transmission.", WHO website
"The
vaccine has been shown to significantly reduce malaria, and deadly severe malaria, among
young children.", WHO website
"In October year two thousand and twenty three, World Health Organization recommended a second safe and effective malaria
vaccine, R21/Matrix-M.", WHO website
"Vaccines are now being rolled out in routine childhood immunization
programmes across Africa.", WHO website
"Malaria vaccines in Africa are expected to save tens of thousands
of young lives every year.", WHO website
"The highest impact will be achieved, however, when the vaccines
are introduced alongside a mix of other World Health Organization-recommended malaria interventions such as bed nets and chemoprophylaxis.", WHO website
"Can malaria be eliminated?
The vision of World Health Organization and the global malaria community is a world free of malaria.", WHO website
"This vision
will be achieved progressively by countries eliminating malaria from their territories and
implementing effective measures to prevent re-establishment of transmission.", WHO website
Malaria-endemic countries are situated at different points along the road to elimination., WHO website
"The
rate of progress depends on the strength of the national health system, the level of investment
in malaria elimination strategies and other factors, including biological determinants, the
environment and the social, demographic, political and economic realities of a particular
country.", WHO website
"Over the last two decades, significant progress has been achieved towards malaria elimination.", WHO website
"According to the latest World malaria report, twenty five countries had fewer than ten cases of the disease in year two thousand and twenty three, up from four countries in year two thousand.", WHO website
"Countries that have achieved at least 3 consecutive years of zero indigenous cases of malaria
(a case contracted locally with no evidence of importation from another endemic country) are eligible to apply for the World Health Organization certification of malaria elimination.", WHO website
"Since year two thousand and fifteen, fourteen countries
have been certified by the World Health Organization Director-General as malaria-free, including Maldives ( year two thousand and fifteen),
Sri Lanka (year two thousand and sixteen), Kyrgyzstan (year two thousand and sixteen), Paraguay (year two thousand and eighteen), Uzbekistan (year two thousand and eighteen), Argentina (year two thousand and nineteen),
Algeria (year two thousand and nineteen), El Salvador (year two thousand and twenty one), China (year two thousand and twenty one), Azerbaijan (year two thousand and twenty three), Tajikistan (year two thousand and twenty three), Cabo
Verde (year two thousand and twenty four), Egypt (year two thousand and twenty four) and Georgia (year two thousand and twenty five).", WHO website
What is the differences between malaria elimination and eradication?, WHO website
"Malaria elimination refers to the interruption of transmission in a given geographical area –
typically a country.", WHO website
"Malaria eradication refers to the complete interruption of malaria
transmission globally, in all countries.", WHO website
"Malaria vaccines (RTS,S and R21)
What is the malaria situation and who is most at risk?", WHO website
"Despite progress, efforts to control malaria face many challenges.", WHO website
"There were an estimated
two hundred and sixty three million new malaria cases and five hundred and ninety seven thousand malaria deaths globally in year two thousand and twenty three.", WHO website
"The World Health Organization African
Region continues to shoulder the heaviest malaria burden, comprising ninety four percent  of malaria cases
and ninety five percent  of malaria deaths globally.", WHO website
Children are particularly vulnerable; World Health Organization estimates that about four hundred and thirty two thousand African children died from malaria in year two thousand and twenty three., WHO website
"What is the World Health Organization recommendation for the RTS,S and R21 malaria vaccines?", WHO website
World Health Organization updated their recommendation for malaria vaccines in October year two thousand and twenty three., WHO website
"The updated recommendation is applicable to both RTS,S/AS01 and R21/Matrix-M malaria vaccines:
", WHO website
"World Health Organization recommends the use of malaria vaccines for the prevention of P.
falciparum malaria in children living in malaria endemic areas, prioritizing areas of
moderate and high transmission.
", WHO website
"The malaria vaccine should be provided in a schedule of 4 doses in children from
around 5 months of age. (Vaccination programmes may choose to give the first dose at
a later or slightly earlier age based on operational considerations.)
", WHO website
"A 5th dose, given one year after dose four, may be considered in areas of highly seasonal
transmission or where malaria risk remains high during the third year of life or beyond.
", WHO website
"In areas with highly seasonal malaria transmission or areas with perennial malaria
transmission with seasonal peaks, countries may consider providing the vaccine using
an age-based administration, seasonal administration, or a hybrid of these approaches.
", WHO website
"Countries should prioritize vaccination in areas of moderate and high transmission but
may also consider providing the vaccine in low transmission settings.", WHO website
"Decisions on
expanding to low transmission settings should be considered at a country level, based
on the overall malaria control strategy, cost-effectiveness, affordability, and
programmatic considerations. ", WHO website
"Malaria vaccines should be provided as part of a comprehensive malaria control
strategy.", WHO website
What do we know about the World Health Organization-recommended malaria vaccines?, WHO website
"As of October year two thousand and twenty three, both the RTS,S/AS01 and R21/Matrix-M vaccines are recommended by World Health Organization to prevent malaria in children.", WHO website
"Malaria vaccines should be provided to children in a
schedule of four doses from around five months of age.", WHO website
"Vaccination programmes may choose to give
the first dose at a later or slightly earlier age based on operational considerations.", WHO website
"The malaria vaccines act against P. falciparum, the deadliest malaria parasite globally and the
most prevalent in Africa.", WHO website
"The RTS,S malaria vaccine was first recommended by World Health Organization to prevent malaria in children in October year two thousand and twenty one.", WHO website
"The vaccine reached more than two million children in Ghana, Kenya and Malawi
through the Malaria Vaccine Implementation Programme from year two thousand and nineteen to year two thousand and twenty three.", WHO website
"Independent evaluations of the pilot introductions of the RTS,S vaccine in these three countries
demonstrated high public health impact: a vaccine-attributable thirteen percent  drop in mortality among
children age-eligible for vaccination; substantial reduction in hospitalizations for severe
malaria; and, improved access to at least one malaria prevention intervention (malaria vaccine
or insecticide treated net), reaching more than ninety percent  of children.", WHO website
"The pilot programme was
completed at the end of year two thousand and twenty three and all countries are continuing their malaria vaccination
programmes.", WHO website
"Both malaria vaccines are safe and efficacious, and both have been prequalified by World Health Organization.", WHO website
"In phase three clinical trials both vaccines reduced malaria cases by more than half during the first
year after vaccination – the period when children are at high risk of illness and death.", WHO website
A fourth vaccine dose given in the second year of life prolonged protection., WHO website
"Both vaccines reduce
malaria cases by seventy percent  when given seasonally in areas of highly seasonal transmission where
seasonal malaria chemoprevention is provided.", WHO website
"Highest impact is achieved when a combination of World Health Organization-recommended preventive, diagnostic,
and treatment strategies are used, tailored by the country to the local context.", WHO website
Roll out of malaria vaccines is well underway., WHO website
"By early April year two thousand and twenty five, nineteen countries had introduced the vaccine sub-nationally as part of routine childhood vaccinations, with scale-up and additional roll-outs planned throughout the year.", WHO website
"Tens of thousands of young lives could be saved every year with
scale up of these malaria vaccines.", WHO website
"How do the RTS,S and R21 malaria vaccines compare?", WHO website
"Both the R21 and RTS,S vaccines are shown to be safe and effective in preventing malaria in
children and are expected to have high public health impact.", WHO website
"RTS,S has been shown in large pilot implementations to substantially reduce malaria illness
and deaths in young children.", WHO website
"Given the similarity of the two malaria vaccines, it is likely that
R21 will also be highly impactful.", WHO website
"Tens of thousands of young lives could be saved every year
with the wide implementation of these malaria vaccines.", WHO website
"The R21 and RTS,S malaria vaccines have not been tested in a head to head trial.", WHO website
Both have been shown to reduce malaria cases by more than half during the first year after vaccination –this is the period when children are at highest risk of malaria illness and death., WHO website
A fourth dose prolongs the protection., WHO website
"Both vaccines prevent around 75 percent  of malaria episodes when given
seasonally in areas of highly seasonal transmission where seasonal malaria chemoprevention
is provided.", WHO website
There is no evidence to date showing one vaccine performs better than the other., WHO website
"The choice of product to be used in a country should be based on programmatic characteristics,
vaccine supply and vaccine affordability.", WHO website
"Gavi, the Vaccine Alliance, has established an
exceptional time limited co-financing policy for malaria vaccines, to increase affordability.", WHO website
Many Gavi-supported countries will pay as little as zero point two dollar per dose for either vaccine., WHO website
"Multiple modelling studies show cost-effectiveness of malaria vaccines according to standard
measures.", WHO website
"R21, which is currently less expensive than RTS,S, is estimated to have similar cost
effectiveness to other malaria control interventions, and both malaria vaccines are estimated to
be highly cost-effective when compared with other childhood vaccines.", WHO website
"Costing studies show
malaria vaccine introduction costs are similar to the costs of other new vaccines at introduction.", WHO website
"The RTS,S vaccine was prequalified by World Health Organization in July year two thousand and twenty two.", WHO website
"The R21 malaria vaccine was
prequalified by World Health Organization in December year two thousand and twenty three.", WHO website
"World Health Organization prequalification ensures vaccine safety and
quality.", WHO website
What is the status of malaria vaccines roll-out?, WHO website
"Rollout of the RTS,S and R21 malaria vaccines is well underway.", WHO website
"By early April year two thousand and twenty five, nineteen
countries in Africa (Benin, Burkina Faso, Burundi, Cameroon, Central African Republic, Côte
d’Ivoire, Chad, Democratic Republic of the Congo, Ghana, Kenya, Liberia, Malawi,
Mozambique, Niger, Nigeria, Sierra Leone, South Sudan, Sudan and Uganda) were offering
malaria vaccines as part of their childhood immunization programmes, and according to their
national malaria control plans.", WHO website
"Additional countries are expected to introduce and scale up
either RTS,S or R21 malaria vaccines in year two thousand and twenty five.", WHO website
"The status of introduction can be found on the
malaria vaccine introduction dashboard.", WHO website
Demand for the malaria vaccines is unprecedented., WHO website
"At least 30 countries in Africa plan to
introduce the malaria vaccine into their childhood immunization programmes and as part of
their national malaria control strategies.", WHO website
"With two malaria vaccines recommended and available, vaccine supply is expected to be
sufficient to meet the high demand.", WHO website
"What does the World Health Organization recommendation for two malaria vaccines mean for children at risk
of malaria?", WHO website
"The availability of two safe and effective malaria vaccines, RTS,S and R21, results in sufficient
vaccine supply to meet demand and benefit children living in areas where malaria is a major
public health risk.", WHO website
"According to modelling estimates, malaria vaccines could prevent
approximately half a million child deaths by year two thousand and thirty five if they were scaled up in moderate and high
malaria transmission areas.", WHO website
What about the MVIP: will the malaria vaccine pilots continue?, WHO website
"The Malaria Vaccine Implementation Programme in Ghana, Kenya and Malawi was
completed at the end of year two thousand and twenty three.", WHO website
"All three countries continued provision of malaria vaccination
through the childhood immunization programme with Gavi support
The MVIP was designed to evaluate the public health use of the RTS,S vaccine in Ghana,
Kenya and Malawi.", WHO website
"Between year two thousand and nineteen and year two thousand and twenty three, more than two million children were reached with
the malaria vaccine across the three countries, and implementation resulted in a substantial drop in
mortality (thirteen percent ) among children age-eligible for the vaccine, as well as a reduction in
hospitalizations for severe malaria.", WHO website
"The success of the MVIP and lessons learned through the pilot programme informed R21
vaccine considerations and facilitated more efficient development of additional malaria
vaccines, including the World Health Organization recommendation for the second malaria vaccine, R21.", WHO website
"The MVIP was coordinated by World Health Organization and supported by in-country and international partners,
including Ministries of Health in Ghana, Kenya and Malawi, PATH, UNICEF and GSK.", WHO website
"Financing for the MVIP was provided by Gavi, the Vaccine Alliance; the Global Fund to Fight
AIDS, Tuberculosis and Malaria; and Unitaid.", WHO website
"Malaria: Artemisinin partial resistance
Efficacious antimalarial medicines are critical to malaria control and elimination.", WHO website
"Continuous
monitoring of their efficacy is needed to inform treatment policies in malaria-endemic
countries, and to ensure early detection of, and response to, drug resistance.", WHO website
What is the artemisinin and how is it used for the treatment of malaria?, WHO website
"Isolated from the plant Artemisia annua, or sweet wormwood, artemisinin and its derivatives
are powerful medicines known for their ability to swiftly reduce the number of Plasmodium
parasites in the blood of patients with malaria.", WHO website
"Artemisinin-based combination therapies Artemisinin-based Combination Therapies are recommended by World Health Organization as the first- and
second-line treatment for uncomplicated P. falciparum malaria as well as for chloroquine-
resistant P. vivax malaria.", WHO website
"Artemisinin-based Combination Therapies combine an artemisinin derivative (artemisinin derivatives
include artesunate, artemether and dihydroartemisinin) with a partner drug.", WHO website
"The role of the
artemisinin compound is to reduce the number of parasites during the first 3 days of treatment
(reduction of parasite biomass), while the role of the partner drug is to eliminate the remaining
parasites (cure).", WHO website
World Health Organization currently recommends six different Artemisinin-based Combination Therapies., WHO website
"Two injectable treatments, artesunate or
artemether, are recommended for the treatment of severe malaria and should be followed by an
Artemisinin-based Combination Therapy when the patient can tolerate oral therapy.", WHO website
"Increased access to Artemisinin-based Combination Therapies in malaria-endemic countries has been integral to the remarkable
success in reducing the global malaria burden over the last fifteen years.", WHO website
"Almost four billion, five hundred million treatment courses of prequalified Artemisinin-based Combination Therapies were delivered globally by manufacturers between
year two thousand and ten and year two thousand and twenty three.", WHO website
"An estimated sixty eight percent  of these procurements were reported to have been
distributed to the public sector in malaria endemic countries.", WHO website
"Artesunate-amodiaquine; artesunate-mefloquine; artesunate-pyronaridine;
artesunate+sulfadoxine-pyrimethamine; artemether-lumefantrine; dihydroartemisinin-
piperaquine.", WHO website
What is the definition of “artemisinin partial resistance”?, WHO website
"Artemisinin partial resistance typically refers to a delay in the clearance of malaria parasites
from the bloodstream following treatment with an Artemisinin-based Combination Therapy.", WHO website
"As a result, the artemisinin compound
is less effective in clearing all parasites within a 3-day period among patients who are infected
with artemisinin partial resistant strains of malaria.", WHO website
"Studies have demonstrated that the mechanisms of resistance developed by the parasites against
artemisinin compounds affect only one stage of the malaria parasite cycle in humans: the ring
stage.", WHO website
"It is therefore more appropriate to call the delayed clearance “partial resistance” to
highlight this time-limited and cycle-specific feature.", WHO website
"It is unknown whether artemisinin partial
resistance could further evolve to affect other stages of the parasites, developing into complete
resistance. “Full” artemisinin resistance has not been reported.", WHO website
"Currently, even if patients are infected with artemisinin partial resistant parasites, nearly all
patients treated with an Artemisinin-based Combination Therapy are fully cured provided that the partner drug is highly efficacious
in that geographical area.", WHO website
"In the absence of partner drug resistance, artemisinin partial
resistance rarely leads to treatment failure.", WHO website
"Furthermore, there is no evidence that artemisinin
partial resistance alone has resulted in an increase in malaria morbidity and mortality in the
areas where it has been detected.", WHO website
What are the current molecular markers of artemisinin partial resistance?, WHO website
"Artemisinin partial resistance is seen as delayed parasites clearance after treatment with a drug
containing artemisinin.", WHO website
"In vitro and in vivo studies have shown that mutations in
the Plasmodium falciparum Kelch13 BTB/POZ and propeller domain (PfK13) are associated with this delayed
parasite clearance.", WHO website
"To date, more than 260 non-synonymous PfK13 mutations have been
reported.", WHO website
"However, not all the non-synonymous PfK13 mutants reported are associated with
artemisinin partial resistance; mutants can also represent genotypes arising de novo but not
being selected for.", WHO website
Different PfK13 mutations have varying effects on the clearance phenotype., WHO website
"World Health Organization has
established a list of candidates or associated and validated markers of artemisinin partial
resistance.", WHO website
What is the state of partial artemisinin resistance around the world?, WHO website
"Clear evidence of parasites partially resistant to artemisinin has now been identified in the
Greater Mekong subregion and Africa – specifically in Eritrea, Rwanda, Uganda and
the United Republic of Tanzania.", WHO website
"In late year two thousand and thirteen, researchers identified a new molecular marker: mutations in the Plasmodium falciparum Kelch13
propeller domain were shown to be associated with delayed parasite clearance in vitro and in
vivo following treatments with artemisinins.", WHO website
"The molecular marker allows for a more precise
mapping and monitoring of the geographical distribution of artemisinin partial resistance.", WHO website
"Artemisinin partial resistance likely first emerged in the Greater Mekong sub-region prior to year two thousand and one, and prior to the
widespread deployment of Artemisinin-based Combination Therapies.", WHO website
"Molecular surveys have shown that artemisinin partial
resistance has emerged independently in several locations within the Greater Mekong sub-region.", WHO website
"In Africa, artemisinin partial resistance has been confirmed in Eritrea, Rwanda,Uganda and the
United Republic of Tanzania.", WHO website
"These parasites have emerged independently and have not spread
from South-East Asia.", WHO website
"Based on available evidence, such resistance is also suspected in
Ethiopia, Namibia, Sudan and Zambia.", WHO website
What is the current state of ‘Artemisinin-based Combination Therapy’ failures around the world?, WHO website
The efficacy of World Health Organization-recommended Artemisinin-based Combination Therapies is assessed through therapeutic efficacy studies., WHO website
"Such studies done at regular intervals at the same sites allow for the early detection of
declines in drug efficacy, providing evidence for guiding national malaria treatment policies.", WHO website
"While artemisinin partial resistance alone rarely leads to treatment failure, in the Greater
Mekong subregion there is also resistance to a number of the Artemisinin-based Combination Therapy partner drugs.", WHO website
"As a
consequence, several Artemisinin-based Combination Therapies are failing in the Greater Mekong sub-region.", WHO website
"Managing the drug resistance situation
requires close monitoring but there are still Artemisinin-based Combination Therapies available, capable of treating patients even
in the areas where the drug resistance is worst.", WHO website
"In Eritrea, Rwanda, Uganda and the United Republic of Tanzania, where artemisinin partial
resistance has been confirmed, therapeutic efficacy studies are being done to ensure that the
Artemisinin-based Combination Therapies which are recommended in the national treatment policy continue to be efficacious.", WHO website
"In
other areas of Africa, a few Therapeutic Efficacy Study studies have reported treatment failures from studies with
artemether-lumefantrine and dihydroartemisinin-piperaquine.", WHO website
"World Health Organization is working with countries
and partners to investigate if these failures are linked to Artemisinin-based Combination Therapy partner drug resistance.", WHO website
"How is World Health Organization supporting countries in the ‘Greater Mekong’ sub-region tackle multi-drug
resistance?", WHO website
"In the Greater Mekong Subregion, the response to resistance has included improved
monitoring of efficacy and resistance and pursuit of malaria elimination.", WHO website
"In collaboration with national malaria programmes and partners, World Health Organization led the development of
the Strategy for malaria elimination in the Greater Mekong subregion (year two thousand and fifteen to  year two thousand and thirty).", WHO website
"With
technical guidance from World Health Organization, all Greater Mekong sub-region countries have developed national malaria elimination
plans that are aligned with the subregional strategy.", WHO website
"As countries implement these plans, World Health Organization
is providing ongoing technical support through its five Greater Mekong sub-region country offices, regional offices in New Delhi and Manila, and the Organization’s headquarters in Geneva.", WHO website
"Furthermore, in year two thousand and seventeen, World Health Organization launched the Mekong Malaria Elimination programme.", WHO website
"The MME subregional team in Phnom Penh, Cambodia, supports the malaria elimination
strategy by facilitating coordination and dialogue among partners, communicating with
external stakeholders, and coordinating cross-border initiatives.", WHO website
"Impressive progress has been
made towards eliminating P. falciparum from the Greater Mekong sub-region.", WHO website
How is World Health Organization responding to the emergence of partial artemisinin resistance in Africa?, WHO website
"The emergence of artemisinin partial resistance in Africa necessitates a response aiming to
ensure that efficacious treatments remain available.", WHO website
"An immediate priority is to provide support
to improve the phenotypic and genotypic surveillance to better map the extent of the resistance.", WHO website
"Plans are being developed to help countries address issues that could cause resistance to
spread.", WHO website
"Artemisinin partial resistance has likely occurred as a consequence of several factors: poor
treatment practices, inadequate patient adherence to prescribed antimalarial regimens, and the
widespread availability of oral artemisinin-based monotherapies and substandard forms of the drug.", WHO website
"Scaling up interventions will require considerable financial resources, long-term political
commitment, and strong cross-border cooperation.", WHO website
"One of the most urgent challenges is to
strengthen pharmaceutical market regulation and remove oral artemisinin-based monotherapies
and substandard medicines from markets.", WHO website
"In November year two thousand and twenty two, World Health Organization launch a new Strategy to respond to antimalarial drug resistance in
Africa.", WHO website
"The strategy aims to tackle drug resistance through, among other actions, tracking its
spread, identifying the populations most at risk, and developing viable alternative treatments.", WHO website
"Artemisinin-based Combination Therapies remains the best available treatment for uncomplicated P. falciparum malaria, and it is
imperative that the emergence of artemisinin partial resistance does not lead health care
providers or patients to hesitate to prescribe and use Artemisinin-based Combination Therapies to treat confirmed malaria.", WHO website
Who is funding these efforts?, WHO website
"The fight to eliminate malaria in the Greater Mekong sub-region is supported through
generous contributions from a number of donors, including: the Australian Department of
Foreign Affairs and Trade; the Bill & Melinda Gates Foundation; the Global Fund to Fight
AIDS, Tuberculosis and Malaria (Global Fund); the Foreign, Commonwealth & Development
Office of the UK Government; and the US Agency for International Development.", WHO website
"In response to the emergence of artemisinin partial resistance in the Greater Mekong sub-region, the Global Fund
launched the Regional Artemisinin-resistance Initiative (RAI) in year two thousand and thirteen.", WHO website
"Funding provided
through this initiative has enabled countries to purchase and distribute commodities such as
long-lasting insecticidal nets (LLINs), rapid diagnostic tests and quality-assured drugs.", WHO website
"In year two thousand and twenty, the Global Fund announced an expansion of the RAI (RAI3E), committing an additional two hundred and twenty eight point three million Dollars for the period year two thousand and twenty one to year two thousand and twenty three.", WHO website
World Health Organization is in discussions with donors to scale up efforts in areas in Africa affected by resistance., WHO website
Strategy to respond to antimalarial drug resistance in Africa,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The Strategy to respond to antimalarial drug resistance in Africa was developed by the
World Health Organization Global Malaria Programme in collaboration with the World Health Organization Regional Office for Africa and World Health Organization Regional Office for the Eastern
Mediterranean.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
The threat of antimalarial drug resistance in Africa,World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Recent studies have confirmed the emergence of artemisinin partial resistance in several areas of Africa, notably in Rwanda, Uganda and Eritrea.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"There are contradictory findings on Artemisinin-based Combination Therapy efficacy that need to be further
assessed, particularly for artemether-lumefantrine.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"Given the heavy reliance on Artemisinin-based Combination Therapies in Africa, the threat of artemisinin partial resistance and
partner drug resistance must be monitored and addressed urgently.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
"The apparent rapid spread
of some mutations associated with artemisinin partial resistance means that vigorous measures
must be taken before Artemisinin-based Combination Therapies start failing in Africa.",World Health Organization. (2022). Strategy to respond to antimalarial drug resistance in Africa. 
